movie_id,rate_kinopoisk
20,9.1
22,9.1
21,8.8
19,8.7
37,8.7
100,8.7
2,8.7
86,8.6
82,8.6
24,8.6
68,8.6
83,8.6
6,8.6
77,8.5
18,8.5
140,8.5
85,8.5
121,8.5
27,8.5
43,8.4
